currency_code, currency_name, exchange_rate_to_usd,country_code,symbol,active,allow_updated_from_web,created_by
PKR,Pakistani Rupee,102.933899,174,,true,true,system
PLN,Polish Zloty,3.313428,181,,true,true,system
PYG,Paraguayan Guarani,4581.613392,185,,true,true,system
QAR,Qatari Rial,3.641683,188,,true,true,system
RON,Romanian Leu,3.466491,190,,true,true,system
RSD,Serbian Dinar,93.796718,206,.,true,true,system
RUB,Russian Ruble,40.922359,191,,true,true,system
RWF,Rwandan Franc,692.12739,192,,true,true,system
SAR,Saudi Riyal,3.7520959,193,,true,true,system
SBD,Solomon Islands Dollar,7.37136,200,,true,true,system
SCR,Seychellois Rupee,13.94673,215,,true,true,system
SDG,Sudanese Pound,5.7017819,194,,true,true,system
SEK,Swedish Krona,7.2223949,212,,true,true,system
SGD,Singapore Dollar,1.271388,196,,true,true,system
SHP,Saint Helena Pound,0.61978995,198,,true,true,system
SLL,Sierra Leonean Leone,4350.5,201,,true,true,system
SOS,Somali Shilling,783.16764,204,,true,true,system
SRD,Surinamese Dollar,3.308567,209,,true,true,system
STD,Sao Tomean Dobra,19219.18333,208,,true,true,system
SVC,Salvadoran Colon,8.7552953,202,,true,true,system
SYP,Syrian Pound,163.016664,216,,true,true,system
SZL,Swazi Lilangeni,11.011699,213,,true,true,system
THB,Thai Baht,32.265639,220,,true,true,system
TJS,Tajikistani Somoni,4.993574,221,,true,true,system
TMT,Turkmenistani Manat,2.85,223,,true,true,system
TND,Tunisian Dinar,1.795722,227,,true,true,system
TOP,Tongan Paanga,1.960911,225,,true,true,system
TRY,Turkish Lira,2.243859,228,,true,true,system
TTD,Trinidad and Tobago Dollar,6.347437,226,,true,true,system
TWD,New Taiwan Dollar,30.3821901,230,,true,true,system
TZS,Tanzanian Shilling,1695.788333,231,,true,true,system
UAH,Ukrainian Hryvnia,12.96808,233,,true,true,system
UGX,Ugandan Shilling,2680.034999,232,,true,true,system
UYU,Uruguayan Peso,24.402799,234,,true,true,system
UZS,Uzbekistan Som,2380.74002,236,,true,true,system
VEF,Venezuelan Bolivar,6.304875,239,,true,true,system
VND,Vietnamese Dong,21266.76667,242,,true,true,system
VUV,Vanuatu Vatu,98.402501,243,,true,true,system
WST,Samoan Tala,2.36815,245,,true,true,system
XAF,CFA Franc BEAC,515.298903,46,,true,true,system
XCD,East Caribbean Dollar,2.701499,62,,true,true,system
XOF,CFA Franc BCEAO,515.194795,20,,true,true,system
XPF,CFP Franc,93.704059,186,,true,true,system
YER,Yemeni Rial,215.014999,246,,true,true,system
ZAR,South African Rand,11.01493,247,,true,true,system
ZMK,Zambian Kwacha (pre-2013),5252.024744,248,,true,true,system
ZMW,Zambian Kwacha,6.37977,248,,true,true,system
ZWD,Zimbabwean Dollar,322.355006,249,,true,true,system
