id, currency_code, currency_name, exchange_rate_to_usd, country_code, symbol, active, allow_updated_from_web, created_by
100,MUR,Mauritian Rupee,31.42244,157,₨,false,true,system
101,MVR,Maldivian Rufiyaa,15.407999,143,$ ,false,true,system
102,MWK,Malawian Kwacha,435.541,158,$ ,false,true,system
103,MXN,Mexican Peso,13.51751,144,$,false,true,system
104,MYR,Malaysian Ringgit,3.2674439,159,RM,false,true,system
105,NZD,New Zealand dollar,1.36592429,172,$,false,true,system
106,MZN,Mozambican Metical,31.335525,153,MT,false,true,system
107,NAD,Namibian Dollar,11.031779,161,$,false,true,system
108,NGN,Nigerian Naira,165.5093,165,₦,false,true,system
109,NIO,Nicaraguan Cordoba,26.53707,166,C$,false,true,system
110,NOK,Norwegian Krone,6.564656,169,kr,false,true,system
111,NPR,Nepalese Rupee,98.41346,170,₨,false,true,system
112,OMR,Omani Rial,0.38504302,173,﷼,false,true,system
113,PAB,Panamanian Balboa,1,175,B/.,false,true,system
114,PEN,Peruvian Nuevo Sol,2.9038949,177,S/.,false,true,system
115,PGK,Papua New Guinean Kina,2.519169,180,$ ,false,true,system
116,PHP,Philippine Peso,44.780079,178,₱,false,true,system
117,PKR,Pakistani Rupee,102.933899,174,₨,false,true,system
118,PLN,Polish Zloty,3.313428,181,zł,false,true,system
119,PYG,Paraguayan Guarani,4581.613392,185,Gs,false,true,system
120,QAR,Qatari Rial,3.641683,188,﷼,false,true,system
121,RON,Romanian Leu,3.466491,190,lei,false,true,system
122,RSD,Serbian Dinar,93.796718,206,Дин.,false,true,system
123,RUB,Russian Ruble,40.922359,191,руб,false,true,system
124,RWF,Rwandan Franc,692.12739,192,$ ,false,true,system
125,SAR,Saudi Riyal,3.7520959,193,﷼,false,true,system
126,SBD,Solomon Islands Dollar,7.37136,200,$,false,true,system
127,SCR,Seychellois Rupee,13.94673,215,₨,false,true,system
128,SDG,Sudanese Pound,5.7017819,194,$ ,false,true,system
129,SEK,Swedish Krona,7.2223949,212,kr,false,true,system
130,SGD,Singapore Dollar,1.271388,196,$,false,true,system
131,SHP,Saint Helena Pound,0.61978995,198,£,false,true,system
132,SLL,Sierra Leonean Leone,4350.5,201,$ ,false,true,system
133,SOS,Somali Shilling,783.16764,204,S,false,true,system
134,SRD,Surinamese Dollar,3.308567,209,$,false,true,system
135,STD,Sao Tomean Dobra,19219.18333,208,$ ,false,true,system
136,SVC,Salvadoran Colon,8.7552953,202,$ ,false,true,system
137,SYP,Syrian Pound,163.016664,216,£,false,true,system
138,SZL,Swazi Lilangeni,11.011699,213,$ ,false,true,system
139,THB,Thai Baht,32.265639,220,$ ,false,true,system
140,TJS,Tajikistani Somoni,4.993574,221,$ ,false,true,system
141,TMT,Turkmenistani Manat,2.85,223,$ ,false,true,system
142,TND,Tunisian Dinar,1.795722,227,$ ,false,true,system
143,TOP,Tongan Paanga,1.960911,225,$ ,false,true,system
144,TRY,Turkish Lira,2.243859,228,₺,false,true,system
145,TTD,Trinidad and Tobago Dollar,6.347437,226,TT$,false,true,system
146,TWD,New Taiwan Dollar,30.3821901,230,NT$,false,true,system
147,TZS,Tanzanian Shilling,1695.788333,231,$ ,false,true,system
148,UAH,Ukrainian Hryvnia,12.96808,233,₴,false,true,system
149,UGX,Ugandan Shilling,2680.034999,232,$ ,false,true,system
150,UYU,Uruguayan Peso,24.402799,234,$U,false,true,system
151,UZS,Uzbekistan Som,2380.74002,236,лв,false,true,system
152,VEF,Venezuelan Bolivar,6.304875,239,Bs,false,true,system
153,VND,Vietnamese Dong,21266.76667,242,₫,false,true,system
154,VUV,Vanuatu Vatu,98.402501,243,$ ,false,true,system
155,WST,Samoan Tala,2.36815,245,$ ,false,true,system
156,XAF,CFA Franc BEAC,515.298903,46,$ ,false,true,system
157,XCD,East Caribbean Dollar,2.701499,62,$,false,true,system
158,XOF,CFA Franc BCEAO,515.194795,20,$ ,false,true,system
159,XPF,CFP Franc,93.704059,186,$ ,false,true,system
160,YER,Yemeni Rial,215.014999,246,﷼,false,true,system
161,ZAR,South African Rand,11.01493,247,R,false,true,system
162,ZMK,Zambian Kwacha (pre-2013),5252.024744,248,$ ,false,true,system
163,ZMW,Zambian Kwacha,6.37977,248,$ ,false,true,system
164,ZWD,Zimbabwean Dollar,322.355006,249,Z$,false,true,system
